,Pseudocode,Description,Label
241,"printArray is a void function with int arguments arr array of   and n, and untill i assign to 0 to n exclusive printf ( "" % d "", arr array of i   )
printf is a new line
create void RearrangePosNeg ( int arr array of  , int n ), int key, j
untill i assign to 1 to n exclusive, set key to arr array of i  
if key is greater than 0, continue
set j to i - 1
untill j >assign to 0 and arr array ofj   > 0, arr array of j + 1   assign to arr array ofj  
set j to j - 1
arr array of j + 1   assign to key
declare integer main with a value assign to -12, 11, -13, -5, 6, -7, 5, -3, -6
create integer n with n assign to sizeof ( arr ) / sizeof ( arr array of 0   )
call RearrangePosNeg ( arr, n )
printArray ( arr, n )
return 0
","Find nth number that contains the digit k or divisible by k . 
 C ++ program to find nth number that contains the digit k or divisible by k . ; Function untill checking if digit k is in n or not ; finding remainder ; if digit found ; Function untill finding nth number ; since k is the first which satisfy the criteria , so consider it in count making count assign to 1 and starting from i assign to k + 1 ; checking that the number contain k digit or divisible by k ; Driver code
",0
242,"printArray is a void function with int arguments A and size that returns 0 and i is less than size printArray, print A and "" ""
print newline
void reverse ( int arr array of  , int l, int r ) if l is less than r, swap ( arr array of l  , arr array of r   )
reverse ( arr, l, -- r)
merge assign to integer with arr assign to l, m, r assign to integer, i assign to l
create integer j with j assign to m + 1
untill i assign to m and arr array of i    0, increment i
untill j assign to r and arr array of j    0, increment j
reverse ( arr, i, m )
reverse ( arr, m + 1, j - 1)
reverse ( arr, i, j - 1 )
if l is less than r, set m to l + ( r - l ) / 2
call RearrangePosNeg ( arr, l, m )
call RearrangePosNeg ( arr, m + 1, r )
merge arr, l, m, r
declare integer main with a value assign to -12, 11, -13, -5, 6, -7, 5, -3, -6
create integer arr_size with arr_size assign to sizeof ( arr) / sizeof ( arr array of 0   )
call RearrangePosNeg ( arr, 0, arr_size - 1 )
printArray ( arr, arr_size )
return 0
","Rearrange positive and negative numbers with constant extra space 
 C ++ program to Rearrange positive and negative numbers in a array ; Function to print an array ; Function to reverse an array . An array can be reversed in O ( n ) time and O ( 1 ) space . ; Merges two subarrays of arr array of   . First subarray is arr array of l . . m   Second subarray is arr array of m + 1. . r   ; Initial index of 1 st subarray ; Initial index of IInd ; arr array of i . . m   is positive ; arr array of j . . r   is positive reverse positive part of left sub - array ( arr array of i . . m   ) ; reverse negative part of right sub - array ( arr array of m + 1. . j - 1   ) ; reverse arr array of i . . j - 1   ; Function to Rearrange positive and negative numbers in a array ; Same as ( l + r ) / 2 , but avoids overflow untill large l and h ; Sort first and second halves ; Driver code
",1
243,"printArray is a void function with int arguments A and size that returns 0 and i is less than size printArray, print A and "" ""
print newline
void reverse ( int arr array of  , int l, int r ) if l is less than r, swap ( arr array of l  , arr array of r   )
reverse ( arr, l, -- r)
merge assign to integer with arr assign to l, m, r assign to integer, i assign to l
create integer j with j assign to m + 1
untill i assign to m and arr array of i    0, increment i
untill j assign to r and arr array of j    0, increment j
reverse ( arr, i, m )
reverse ( arr, m + 1, j - 1)
reverse ( arr, i, j - 1 )
if l is less than r, set m to l + ( r - l ) / 2
call RearrangePosNeg ( arr, l, m )
call RearrangePosNeg ( arr, m + 1, r )
merge arr, l, m, r
declare integer main with a value assign to -12, 11, -13, -5, 6, -7, 5, -3, -6
create integer arr_size with arr_size assign to sizeof ( arr) / sizeof ( arr array of 0   )
call RearrangePosNeg ( arr, 0, arr_size - 1 )
printArray ( arr, arr_size )
return 0
","Print all numbers in given range having digits in strictly increasing order 
 C ++ program untill the above approach ; Function to print all numbers in the range array of L , R   having digits in strictly increasing order ; Iterate over the range ; Iterate over the digits ; Check if the current digit is >assign to the previous digit ; If the digits are in ascending order ; Driver Code ; Given range L and R ; Function Call
",0
244,"in the function RearrangePosNeg that takes arr array of   and n and returns integer i assign to 0
create integer j with j assign to n - 1
untill true, increment i untill arr array of i   is less than 0 and i is less than n
untill arr array ofj  > 0 and j >assign to 0, decrement j
if i is less than j, temp assign to arr array of i  
arr array of i   assign to arr array of j  
set arr array ofj   to temp
else break
declare integer main with a value assign to -12, 11, -13, -5, 6, -7, 5, -3, -6
create integer n with n assign to sizeof ( arr ) / sizeof ( arr array of 0   )
call RearrangePosNeg ( arr, n )
untill i assign to 0 to n exclusive, print arr array of i   and "" ""
return 0
","Rearrange positive and negative numbers with constant extra space 
 C ++ implementation of the above approach ; Loop until arr array of i   < 0 and still inside the array ; Loop until arr array of j   > 0 and still inside the array ; if i is less than j ; Driver Code
",1
245,"in the function RearrangePosNeg that takes arr array of   and n and returns integer i assign to 0
create integer j with j assign to n - 1
untill true, increment i untill arr array of i   is less than 0 and i is less than n
untill arr array ofj  > 0 and j >assign to 0, decrement j
if i is less than j, temp assign to arr array of i  
arr array of i   assign to arr array of j  
set arr array ofj   to temp
else break
declare integer main with a value assign to -12, 11, -13, -5, 6, -7, 5, -3, -6
create integer n with n assign to sizeof ( arr ) / sizeof ( arr array of 0   )
call RearrangePosNeg ( arr, n )
untill i assign to 0 to n exclusive, print arr array of i   and "" ""
return 0
","Bubble Sort 
 Optimized implementation of Bubble sort ; An optimized version of Bubble Sort ; swap arr array of j   and arr array of j + 1   ; IF no two elements were swapped by inner loop , then break ; Function to print an array ; Driver program to test above functions
",0
246,"if N modulo 2 is 1, print A
else print B
declare integer main ( ), integer arr assign to  24, 45, 45, 24  ; declare integer array arr size   assign to  24, 45, 45, 24
create integer N with N assign to sizeof ( arr ) / sizeof ( arr array of 0   )
winner of arr, N
","Find the player to be able to replace the last element that can be replaced by its divisors 
 C ++ program untill the above approach ; Function to find the winner of the game played based on given conditions ; A wins if size of array is odd ; Otherwise , B wins ; Driver Code ; Input array ; Size of the array
",1
247,"if N modulo 2 is 1, print A
else print B
declare integer main ( ), integer arr assign to  24, 45, 45, 24  ; declare integer array arr size   assign to  24, 45, 45, 24
create integer N with N assign to sizeof ( arr ) / sizeof ( arr array of 0   )
winner of arr, N
","Minimize K to let Person A consume at least ceil ( N / ( M + 1 ) ) candies based on given rules 
 C ++ program untill the above approach ; Function to check if the value of mid gives at least ( N / ( M + 1 ) ) candies or not ; Candies taken by 1 st person is minimum of K and candies left ; Traverse the given array ; Amount consumed by person j ; Update the count of candies ; Check if person 1 gets the good share of candies ; Function to find minimum value of K such that the first person gets at least ( N / ( M + 1 ) ) candies ; Find the minimum required value of candies untill the first person ; Iterate until low is less than or equal to mid ; Find the value of mid ; Check untill mid , whether it can be the possible value of K or not ; Update the value of hi ; Otherwise , update the value of lo ; Print the resultant minimum value of K ; Driver Code
",0
248,"create constant integer sz with sz assign to 20
create constant integer sqr with sqr assign to int ( sqrt ( sz ) ) + 1
untill i assign to N - 1 to sqrt ( N ), j assign to sqrt ( N ), dp array of i   array of j   assign to arr array of i   + dp array of i + j   array of j  , dp array of sz   array of sqr   ), dp array of i   array of j   assign to arr array of i   + dp
else dp array of i   array of j   assign to arr array of i  
in function querySum taking ints arr array of  , N, Q array of   array of 2  , M and returning int dp array of sz   array of sqr 
precomputeExpressionForAllVal ( arr, N, dp )
untill i assign to 0 to M exclusive, x assign to Q array of i   array of 0  
create integer y with y assign to Q array of i  array of 1  
if y assign to sqrt ( N ) print dp array ofx   array ofy   print "" ""
continue
sum assign to integer with sum assign to 0
untill x  N, increment sum by arr array of x  
increase x by y
print sum
declare integer main ( ), integer arr assign to  1, 2, 7, 5, 4  ;
create integer Q with Q array of   array of 2   assign to   2, 1 , 3, 2
create integer N with N assign to sizeof ( arr ) / sizeof ( arr array of 0   )
create integer M with M assign to sizeof ( Q) / sizeof ( Q array of 0   )
querySum ( arr, N, Q, M )
return 0
","Queries to calculate sum of array elements present at every Yth index starting from the index X 
 C ++ program untill the above approach ; Function to sum of arr array of x   + arr array of x + y   + arr array of x + 2 * y   + ... untill all possible values of X and Y , where Y is less than or equal to sqrt ( N ) . ; Iterate over all possible values of X ; Precompute untill all possible values of an expression such that y <assign to sqrt ( N ) ; If i + j less than N ; Update dp array of i   array of j   ; Update dp array of i   array of j   ; Function to Find the sum of arr array of x   + arr array of x + y   + arr array of x + 2 * y   + ... untill all queries ; dp array of x   array of y   : Stores sum of arr array of x   + arr array of x + y   + arr array of x + 2 * y   + ... ; Traverse the query array , Q array of   array of   ; If y is less than or equal to sqrt ( N ) ; Stores the sum of arr array of x   + arr array of x + y   + arr array of x + 2 * y   + ... ; Traverse the array , arr array of   ; Update sum ; Update x ; Driver Code
",1
249,"create constant integer sz with sz assign to 20
create constant integer sqr with sqr assign to int ( sqrt ( sz ) ) + 1
untill i assign to N - 1 to sqrt ( N ), j assign to sqrt ( N ), dp array of i   array of j   assign to arr array of i   + dp array of i + j   array of j  , dp array of sz   array of sqr   ), dp array of i   array of j   assign to arr array of i   + dp
else dp array of i   array of j   assign to arr array of i  
in function querySum taking ints arr array of  , N, Q array of   array of 2  , M and returning int dp array of sz   array of sqr 
precomputeExpressionForAllVal ( arr, N, dp )
untill i assign to 0 to M exclusive, x assign to Q array of i   array of 0  
create integer y with y assign to Q array of i  array of 1  
if y assign to sqrt ( N ) print dp array ofx   array ofy   print "" ""
continue
sum assign to integer with sum assign to 0
untill x  N, increment sum by arr array of x  
increase x by y
print sum
declare integer main ( ), integer arr assign to  1, 2, 7, 5, 4  ;
create integer Q with Q array of   array of 2   assign to   2, 1 , 3, 2
create integer N with N assign to sizeof ( arr ) / sizeof ( arr array of 0   )
create integer M with M assign to sizeof ( Q) / sizeof ( Q array of 0   )
querySum ( arr, N, Q, M )
return 0
","Maximum sum possible from given Matrix by peruntillming given operations 
 C ++ program untill the above approach ; Function to print the maximum sum ; Dp table ; Initializing dp array with 0 s ; Base case ; Traverse each column ; Update answer untill both rows ; Print the maximum sum ; Driver Code ; Given array ; Number of Columns ; Function calls
",0
250,"untill i assign to 0 to n exclusive, count assign to 0
untill j assign to 0 to n exclusive, increment count by 1 if arr array ofj   > arr array of i  
if count >assign to 2 print arr array of i  and "" ""
declare integer main ( ), integer arr assign to  2, -6, 3, 5, 1  ;
create integer n with n assign to sizeof ( arr ) / sizeof ( arr array of 0   )
create findElements ( arr, n )
return 0
","Find all elements in array which have at 
 Simple C ++ program to find all elements in array which have at - least two greater elements itself . ; Pick elements one by one and count greater elements . If count is more than 2 , print that element . ; Driver code
",1
251,"untill i assign to 0 to n exclusive, count assign to 0
untill j assign to 0 to n exclusive, increment count by 1 if arr array ofj   > arr array of i  
if count >assign to 2 print arr array of i  and "" ""
declare integer main ( ), integer arr assign to  2, -6, 3, 5, 1  ;
create integer n with n assign to sizeof ( arr ) / sizeof ( arr array of 0   )
create findElements ( arr, n )
return 0
","Pascal 's Triangle 
 C ++ program untill Pascals Triangle ; A O ( n to the power 2 ) time and O ( n to the power 2 ) extra space method untill Pascal 's Triangle ; An auxiliary array to store generated pscal triangle values ; Iterate through every line and print integer ( s ) in it ; Every line has number of integers equal to line number ; First and last values in every row are 1 ; Other values are sum of values just above and left of above ; Driver code
",0
252,"declare findElements with integer arr array of  , integer n, sort ( arr, arr + n ) as arguments
untill i assign to 0 to n - 2 exclusive, print arr array of i  and "" ""
declare integer main ( ), integer arr array of   assign to  2, -6, 3, 5, 1  ;
create integer n with n assign to sizeof ( arr ) / sizeof ( arr array of 0   )
create findElements ( arr, n )
return 0
","Find all elements in array which have at 
 Sorting based C ++ program to find all elements in array which have atleast two greater elements itself . ; Driver Code
",1
253,"declare findElements with integer arr array of  , integer n, sort ( arr, arr + n ) as arguments
untill i assign to 0 to n - 2 exclusive, print arr array of i  and "" ""
declare integer main ( ), integer arr array of   assign to  2, -6, 3, 5, 1  ;
create integer n with n assign to sizeof ( arr ) / sizeof ( arr array of 0   )
create findElements ( arr, n )
return 0
","Maximize volume of cuboid with given sum of sides 
 Return the maximum volume . ; Return the maximum volume . ; finding length ; finding breadth ; finding height ; Driven Program
",0
254,"declare findElements with integer arr array of  , integer n, first assign to INT_MIN, second assign to INT_MIN
untill i assign to 0 to n exclusive, set second to first if arr array of i   is greater than first
set first to arr array of i  
else if arr array of i   is greater than second, set second to arr array of i  
untill i assign to 0 to n exclusive, print arr array of i   and "" ""
declare integer main ( ), integer arr array of   assign to  2, -6, 3, 5, 1  ;
create integer n with n assign to sizeof ( arr ) / sizeof ( arr array of 0   )
create findElements ( arr, n )
return 0
","Find all elements in array which have at 
 C ++ program to find all elements in array which have atleast two greater elements itself . ; If current element is smaller than first then update both first and second ; If arr array of i   is in between first and second then update second ; Driver code
",1
255,"declare findElements with integer arr array of  , integer n, first assign to INT_MIN, second assign to INT_MIN
untill i assign to 0 to n exclusive, set second to first if arr array of i   is greater than first
set first to arr array of i  
else if arr array of i   is greater than second, set second to arr array of i  
untill i assign to 0 to n exclusive, print arr array of i   and "" ""
declare integer main ( ), integer arr array of   assign to  2, -6, 3, 5, 1  ;
create integer n with n assign to sizeof ( arr ) / sizeof ( arr array of 0   )
create findElements ( arr, n )
return 0
","Minimum number of bracket reversals needed to make an expression balanced 
 C ++ program to find minimum number of reversals required to balance an expression ; Returns count of minimum reversals untill making expr balanced . Returns - 1 if expr cannot be balanced . ; Expressions of odd lengths cannot be balanced ; If we find a left bracket then we simply increment the left bracket ; Else if left bracket is 0 then we find unbalanced right bracket and increment right bracket or if the expression is balanced then we decrement left ; Driver program to test above function
",0
256,"declare getMinOps with integer arr array of  , integer n, res assign to 0
untill i assign to 0 to n - 1 exclusive, increment res by max ( arr array of i + 1   - arr array of i  , 0 )
return res
declare integer main ( ), integer arr array of   assign to  1, 3, 4, 1, 2  ;
create integer N with N assign to sizeof ( arr ) / sizeof ( arr array of 0   )
print getMinOps ( arr, N )
","Minimize count of increments of each element of subarrays required to make Array non 
 C ++ Program to implement the above approach ; Function to find the minimum number of operations required to make the array non - increasing ; Stores the count of required operations ; If arr array of i   > arr array of i + 1   , no increments required . Otherwise , add their difference to the answer ; Return the result res ; Driver Code
",1
257,"declare getMinOps with integer arr array of  , integer n, res assign to 0
untill i assign to 0 to n - 1 exclusive, increment res by max ( arr array of i + 1   - arr array of i  , 0 )
return res
declare integer main ( ), integer arr array of   assign to  1, 3, 4, 1, 2  ;
create integer N with N assign to sizeof ( arr ) / sizeof ( arr array of 0   )
print getMinOps ( arr, N )
","Length of the chord of the circle whose radius and the angle subtended at the center by the chord is given 
 C ++ program to find the length chord of the circle whose radius and the angle subtended at the centre is also given ; Function to find the length of the chord ; Driver code
",0
258,"declare findFirstMissing with array array of integers array of size, start, end, return end + 1, if start > end
if start is not array array of start , return start
mid assign to integer with mid assign to ( start + end ) / 2
if array array of mid  is mid return findFirstMissing ( array, mid + 1, end )
return findFirstMissing ( array, start, mid)
declare integer main ( ) and integer array arr with arr assign to 0, 1, 2, 3, 4, 5, 6, 7, 10
create integer n with n assign to sizeof ( arr ) / sizeof ( arr array of 0   )
print "" Smallest missing element is "" print findFirstMissing ( arr, 0, n - 1 ) print newline
","Find the smallest missing number 
 C ++ program to find the smallest elements missing in a sorted array . ; function that returns smallest elements missing in a sorted array . ; Left half has all elements from 0 to mid ; Driver code
",1
259,"declare findFirstMissing with array array of integers array of size, start, end, return end + 1, if start > end
if start is not array array of start , return start
mid assign to integer with mid assign to ( start + end ) / 2
if array array of mid  is mid return findFirstMissing ( array, mid + 1, end )
return findFirstMissing ( array, start, mid)
declare integer main ( ) and integer array arr with arr assign to 0, 1, 2, 3, 4, 5, 6, 7, 10
create integer n with n assign to sizeof ( arr ) / sizeof ( arr array of 0   )
print "" Smallest missing element is "" print findFirstMissing ( arr, 0, n - 1 ) print newline
","Frequency Measuring Techniques untill Competitive Programming 
 C ++ program to count frequencies of array items ; Mark all array elements as not visited ; Traverse through array elements and count frequencies ; Skip this element if already processed ; Count frequency ; Driver Code
",0
260,"return 0 if arr array of 0  is not 0
if arr array of size of arr - 1   is arr. size ( ) - 1 ) return size of arr
create integer first with first assign to arr array of 0  
return findFirstMissing ( arr, 0, arr. size ( ) - 1, first )
declare findFirstMissing with vector  integers arr, start, end, first, if start is less than end, mid assign to ( start + end ) / 2
if arr array of mid  is not mid + first, return findFirstMissing ( arr, start, mid, first)
else return findFirstMissing ( arr, mid + 1, end, first )
return start + first
declare integer main ( ), vector arr assign to  0, 1, 2, 3, 4, 5, 7  ;
create integer n with n assign to size of arr
print "" First Missing element is : "" print findSmallestMissinginSortedArray ( arr)
","Find the smallest missing number 
 C ++ program untill the above approach ; Program to find Smallest Missing in Sorted Array ; Check if 0 is missing in the array ; Check is all numbers 0 to n - 1 are prsent in array ; Program to find missing element ; * Index matches with value at that index , means missing element cannot be upto that po ; Driver program to test the above function ; Function Call
",1
261,"return 0 if arr array of 0  is not 0
if arr array of size of arr - 1   is arr. size ( ) - 1 ) return size of arr
create integer first with first assign to arr array of 0  
return findFirstMissing ( arr, 0, arr. size ( ) - 1, first )
declare findFirstMissing with vector  integers arr, start, end, first, if start is less than end, mid assign to ( start + end ) / 2
if arr array of mid  is not mid + first, return findFirstMissing ( arr, start, mid, first)
else return findFirstMissing ( arr, mid + 1, end, first )
return start + first
declare integer main ( ), vector arr assign to  0, 1, 2, 3, 4, 5, 7  ;
create integer n with n assign to size of arr
print "" First Missing element is : "" print findSmallestMissinginSortedArray ( arr)
","Check if a number S can be made divisible by D by repeatedly adding the remainder to S 
 C ++ program untill the above approach ; Function to check if S is divisible by D untill changing S to ( S + S % D ) ; V ( 0 ) assign to S % D ; Stores the encountered values ; V ( i ) assign to ( V ( i - 1 ) + V ( i - 1 ) % D ) % D ; Check if the value has already been encountered ; Edge Case ; Otherwise , insert it into the hashmap ; Driver Code
",0
262,"declare FindMaxSum with vector  integers > arr, n, integer incl assign to arr array of 0  
declare integer variable excl assign to 0
declare integer excl_new
create integer i
untill i assign to 1 to n exclusive, then excl_new assign to incl if incl > excl else excl
set incl to excl + arr array of i  
set excl to excl_new
return incl if incl > excl else return if excl is greater than excl
declare integer main ( ), vector  integer arr assign to  5, 5, 10, 100, 10, 5  ;
print FindMaxSum ( arr, arr size ( ) ) )
","Maximum sum such that no two elements are adjacent 
 c ++ program untill the above approach ; Function to return max sum such that no two elements are adjacent ; current max excluding i ; current max including i ; return max of incl and excl ; Driver program to test above functions
",1
263,"declare FindMaxSum with vector  integers > arr, n, integer incl assign to arr array of 0  
declare integer variable excl assign to 0
declare integer excl_new
create integer i
untill i assign to 1 to n exclusive, then excl_new assign to incl if incl > excl else excl
set incl to excl + arr array of i  
set excl to excl_new
return incl if incl > excl else return if excl is greater than excl
declare integer main ( ), vector  integer arr assign to  5, 5, 10, 100, 10, 5  ;
print FindMaxSum ( arr, arr size ( ) ) )
","Sieve of Sundaram to print all primes smaller than n 
 C ++ program to print primes smaller than n using Sieve of Sundaram . ; Prints all prime numbers smaller ; In general Sieve of Sundaram , produces primes smaller than ( 2 * x + 2 ) untill a number given number x . Since we want primes smaller than n , we reduce n to half ; This array is used to separate numbers of the untillm i + j + 2 ij from others where 1 <assign to i <assign to j ; Initialize all elements as not marked ; Main logic of Sundaram . Mark all numbers of the untillm i + j + 2 ij as true where 1 <assign to i <assign to j ; Since 2 is a prime number ; Print other primes . Remaining primes are of the untillm 2 * i + 1 such that marked array of i   is false . ; Driver program to test above
",0
264,"declare countChanges with integer matrix array of   array of N  , integer n, m, dist assign to n + m - 1
create integer freq array of dist  array of 10 
untill i assign to 0 to dist exclusive, freq array of i   array of j   assign to 0
untill i assign to 0 to n exclusive, increment freq array of i + j  array of matrix array of i   array of j      
min_changes_sum assign to 0
untill i assign to 0 to dist / 2 exclusive, set maximum to 0
create integer total_values with total_values assign to 0
untill j assign to 0 to 10 exclusive, set maximum to max ( maximum, freq array of i   array of j   + freq array of n + m - 2 - i   array of j   )
increment total_values by freq array of i   array of j   + freq array of n + m - 2 - i   array of j   )
increment min_changes_sum by total_values - maximum
return min_changes_sum
declare integer main ( ), integer mat array of   array of N   assign to   1, 2 ,  3, 5
print countChanges ( mat, 2, 2 )
return 0
","Minimum steps to convert all top left to bottom right paths in Matrix as palindrome 
 Set 2 
 C ++ program untill the above approach ; Function untill counting minimum number of changes ; Distance of elements from ( 0 , 0 ) will is i range array of 0 , n + m - 2   ; Store frequencies of array of 0 , 9   at distance i ; Initialize frequencies as 0 ; Count frequencies of array of 0 , 9   ; Increment frequency of value matrix array of i   array of j   at distance i + j ; Find value with max frequency and count total cells at distance i from front end and rear end ; Change all values to the value with max frequency ; Return the answer ; Driver Code ; Given Matrix ; Function Call
",1
265,"declare countChanges with integer matrix array of   array of N  , integer n, m, dist assign to n + m - 1
create integer freq array of dist  array of 10 
untill i assign to 0 to dist exclusive, freq array of i   array of j   assign to 0
untill i assign to 0 to n exclusive, increment freq array of i + j  array of matrix array of i   array of j      
min_changes_sum assign to 0
untill i assign to 0 to dist / 2 exclusive, set maximum to 0
create integer total_values with total_values assign to 0
untill j assign to 0 to 10 exclusive, set maximum to max ( maximum, freq array of i   array of j   + freq array of n + m - 2 - i   array of j   )
increment total_values by freq array of i   array of j   + freq array of n + m - 2 - i   array of j   )
increment min_changes_sum by total_values - maximum
return min_changes_sum
declare integer main ( ), integer mat array of   array of N   assign to   1, 2 ,  3, 5
print countChanges ( mat, 2, 2 )
return 0
","Find trace of matrix untillmed by adding Row 
 C ++ program to find trace of matrix untillmed by adding Row - major and Column - major order of same matrix ; Return sum of first n integers of an AP ; Return the trace of sum of row - major matrix and column - major matrix ; Finding nth element in AP in case of Row major matrix . ; Finding sum of first n integers of AP in case of Row major matrix ; Finding nth element in AP in case of Row major matrix ; Finding sum of first n integers of AP in case of Column major matrix ; Driven Program
",0
266,"create integer lookup array of MAX  array of MAX 
untill i assign to 0 to n exclusive, lookup array of i   array of 0   assign to arr array of i  
untill j assign to 1 to n inclusive, change i from 0 to n exclusive, incrementing i by 1  (j - 1) )   array of j - 1   array of j - 1  , change lookup array of i   array of j - 1   to lookup array of i   array of j - 1  
else lookup array of i   array of j   assign to lookup array of i + ( 1  ( j - 1 ) )   array of j - 1  
j assign to integer with j assign to log2 assign to R - L + 1
if lookup array of L  array ofj  assign to lookup array of R - ( 1  j ) + 1   array of j  , return lookup array of L   array of j  
else return lookup array of R - ( 1  j ) + 1   array of j  
declare integer main ( ) and integer array a with size   assign to  7, 2, 3, 0, 5, 10, 3, 12, 18
create integer n with n assign to sizeof ( a ) / sizeof ( a array of 0   )
create buildSparseTable ( a, n )
print query ( 0, 4 ) and a new line
print query ( 4, 7 )
print query ( 7, 8 )
return 0
","Sparse Table 
 C ++ program to do range minimum query using sparse table ; lookup array of i   array of j   is going to store minimum value in arr array of i . . j   . Ideally lookup table size should not be fixed and should be determined using n Log n . It is kept constant to keep code simple . ; Fills lookup array lookup array of   array of   in bottom up manner . ; Initialize M untill the intervals with length 1 ; Compute values from smaller to bigger intervals ; Compute minimum value untill all intervals with size 2 to the power j ; For arr array of 2   array of 10   , we compare arr array of lookup array of 0   array of 7     and arr array of lookup array of 3   array of 10     ; Returns minimum of arr array of L . . R   ; Find highest power of 2 that is smaller than or equal to count of elements in given range . For array of 2 , 10   , j assign to 3 ; Compute minimum of last 2 to the power j elements with first 2 to the power j elements in range . For array of 2 , 10   , we compare arr array of lookup array of 0   array of 3     and arr array of lookup array of 3   array of 3     , ; Driver program
",1
267,"create integer lookup array of MAX  array of MAX 
untill i assign to 0 to n exclusive, lookup array of i   array of 0   assign to arr array of i  
untill j assign to 1 to n inclusive, change i from 0 to n exclusive, incrementing i by 1  (j - 1) )   array of j - 1   array of j - 1  , change lookup array of i   array of j - 1   to lookup array of i   array of j - 1  
else lookup array of i   array of j   assign to lookup array of i + ( 1  ( j - 1 ) )   array of j - 1  
j assign to integer with j assign to log2 assign to R - L + 1
if lookup array of L  array ofj  assign to lookup array of R - ( 1  j ) + 1   array of j  , return lookup array of L   array of j  
else return lookup array of R - ( 1  j ) + 1   array of j  
declare integer main ( ) and integer array a with size   assign to  7, 2, 3, 0, 5, 10, 3, 12, 18
create integer n with n assign to sizeof ( a ) / sizeof ( a array of 0   )
create buildSparseTable ( a, n )
print query ( 0, 4 ) and a new line
print query ( 4, 7 )
print query ( 7, 8 )
return 0
","Check if the Xor of the frequency of all digits of a number N is zero or not 
 C ++ implementation of the above approach ; creating a frequency array ; Finding the last digit of the number ; Dividing the number by 10 to eliminate last digit ; counting frequency of each digit ; checking if the xor of all frequency is zero or not ; Driver function
",0
268,"table assign to integer array of size MAX, MAX, table assign to integer
untill i assign to 0 to n exclusive, table array of i   array of 0   assign to arr array of i  
untill j assign to 1 to n inclusive, set table array of i   array of j   to __gcd ( table array of i   array of j - 1  , table array of i + ( 1  ( j - 1) ) ) array of j - 1   ) )
declare query with integers L, R, j as arguments, returning integer, log2 with R - L + 1 as arguments, returning integer
return __gcd ( table array of L  array of j  , table array of R - ( 1  j ) + 1   array of j   )
declare integer main ( ) and integer array a with size   assign to  7, 2, 3, 0, 5, 10, 3, 12, 18
create integer n with n assign to sizeof ( a ) / sizeof ( a array of 0   )
create buildSparseTable ( a, n )
print query ( 0, 2 ) and a new line
print query ( 1, 3 )
print query ( 4, 5 )
return 0
","Sparse Table 
 C ++ program to do range minimum query using sparse table ; lookup array of i   array of j   is going to store GCD of arr array of i . . j   . Ideally lookup table size should not be fixed and should be determined using n Log n . It is kept constant to keep code simple . ; it builds sparse table . ; GCD of single element is element itself ; Build sparse table ; Returns GCD of arr array of L . . R   ; Find highest power of 2 that is smaller than or equal to count of elements in given range . For array of 2 , 10   , j assign to 3 ; Compute GCD of last 2 to the power j elements with first 2 to the power j elements in range . For array of 2 , 10   , we find GCD of arr array of lookup array of 0   array of 3     and arr array of lookup array of 3   array of 3     , ; Driver program
",1
269,"table assign to integer array of size MAX, MAX, table assign to integer
untill i assign to 0 to n exclusive, table array of i   array of 0   assign to arr array of i  
untill j assign to 1 to n inclusive, set table array of i   array of j   to __gcd ( table array of i   array of j - 1  , table array of i + ( 1  ( j - 1) ) ) array of j - 1   ) )
declare query with integers L, R, j as arguments, returning integer, log2 with R - L + 1 as arguments, returning integer
return __gcd ( table array of L  array of j  , table array of R - ( 1  j ) + 1   array of j   )
declare integer main ( ) and integer array a with size   assign to  7, 2, 3, 0, 5, 10, 3, 12, 18
create integer n with n assign to sizeof ( a ) / sizeof ( a array of 0   )
create buildSparseTable ( a, n )
print query ( 0, 2 ) and a new line
print query ( 1, 3 )
print query ( 4, 5 )
return 0
","Number of strings in two array satisfy the given conditions 
 C ++ program untill the above approach ; To store the frequency of string after bitmasking ; To store result untill each string in arr2 array of   ; Traverse the arr1 array of   and bitmask each string in it ; Bitmasking untill each string s ; Update the frequency of string with it 's bitmasking value ; Traverse the arr2 array of   ; Bitmasking untill each string s ; Check if temp is present in an unordered_map or not ; Check untill next set bit ; Push the count untill current string in resultant array ; Print the count untill each string ; Driver Code ; Function call
",0
270,"in void function minimizeWithKSwaps (int arr array of  , int n, int k )  untill i assign to 0 to n - 1 && k > 0 ; ++ i )  int pos assign to i
untill j assign to i + 1 to n exclusive, break if j - i is greater than k
if arr array ofj  is less than arr array of pos  , pos assign to j
untill j assign to pos to i exclusive swap arr array ofj   and arr array of j - 1  
decrement k by pos - i
declare integer main ( ), integer arr assign to  7, 6, 9, 2, 1  ;
create integer n with n assign to sizeof ( arr ) / sizeof ( arr array of 0   )
create integer k with k assign to 3
minimizeWithKSwaps ( arr, n, k )
untill i assign to 0 to n exclusive, print arr array of i   and "" ""
","Lexicographically smallest array after at 
 C ++ program to find lexicographically minimum value after k swaps . ; Modifies arr array of 0. . n - 1   to lexicographically smallest with k swaps . ; Set the position where we want to put the smallest integer ; If we exceed the Max swaps then terminate the loop ; Find the minimum value from i + 1 to max k or n ; Swap the elements from Minimum position we found till now to the i index ; Set the final value after swapping pos - i elements ; Driver code ; Function calling ; Print the final Array
",1
